Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol
0,1.358360145720497,0.9842913675576964,2.189198164338771,0.77798851503836,0.5153409231383445,0.40208686891365275,0.06818769540202363
1,1.1521648633616415,0.8291361578544562,1.8041772547416806,0.6452661006991132,0.4338926030076579,0.3483227788694382,0.04435380701126791
5,1.791133495942497,1.1839647696255444,2.1479527993981824,0.7704909696236041,0.507006599339425,0.4315277857700105,0.06028632003218457
24,1.5174588982161283,1.420833795014689,2.1692696301429906,0.7940130858638235,0.5665135306145435,0.5428620725111951,0.1276903218744559
26,1.0681593779561818,0.9502329068911315,1.9411558475791066,0.7617126761748164,0.5134097441668597,0.5237171208718021,0.15116493646613616
28,0.953606443312373,0.028005477508700798,1.7597517651727854,0.900777620491548,0.59611511621412,0.5624652259265304,0.48307390072258616
46,0.019465445603660744,0.0208153580346482,1.6820071584272192,1.2480294313642761,0.7752955601197349,0.6878592377579695,0.5678166150008287
48,0.023461396539264198,0,1.6286406688701711,1.1991361502902786,0.7518140354315026,0.6772509214127165,0.39303476680195343
50,0.020491376798738817,0,1.6126460117757164,1.2166733239487342,0.7726890087621867,0.69039655414756,0.6710967980274368
70,0,0,1.4089307080830697,0.8708376806108138,0.7419890410858555,0.6882038984696106,0.31182299895197096
72,0,0,1.5534127661086825,0.9388080967796631,0.8493849803906128,0.7428717040687435,0.35772530251935236
74,0,0,1.7101073912167846,1.0129013526177642,1.0047300149531306,0.8312249529978104,0.43805433376226977
94,0,0,1.7252749937804315,0.7265170256867253,1.1699260309922634,0.9156947409431757,0.39833118644434357
96,0,0,1.53915736693085,0.6163086521008226,1.0797200294117917,0.8368870353197988,0.28534090074002016
98,0,0,1.638664910378979,0.620382566990133,1.1515641633984355,0.8920413147594893,0.3391878337709868
167,0,0,0.7179769964815012,0.2970203635283463,1.4372241385467537,1.1757626618191286,0.1744091568033724
171,0,0,0.7905715783487934,0.6568994809554415,1.4546063792088302,1.2377918923227713,0.172652510955313
