Time,Lactate,Acetate,Propionate,Ethanol
0,0.77798851503836,0.5153409231383445,0.40208686891365275,0.06818769540202363
1,0.6452661006991132,0.4338926030076579,0.3483227788694382,0.04435380701126791
5,0.7704909696236041,0.507006599339425,0.4315277857700105,0.06028632003218457
24,0.7940130858638235,0.5665135306145435,0.5428620725111951,0.1276903218744559
26,0.7617126761748164,0.5134097441668597,0.5237171208718021,0.15116493646613616
28,0.900777620491548,0.59611511621412,0.5624652259265304,0.48307390072258616
46,1.2480294313642761,0.7752955601197349,0.6878592377579695,0.5678166150008287
48,1.1991361502902786,0.7518140354315026,0.6772509214127165,0.39303476680195343
50,1.2166733239487342,0.7726890087621867,0.69039655414756,0.6710967980274368
70,0.8708376806108138,0.7419890410858555,0.6882038984696106,0.31182299895197096
72,0.9388080967796631,0.8493849803906128,0.7428717040687435,0.35772530251935236
74,1.0129013526177642,1.0047300149531306,0.8312249529978104,0.43805433376226977
94,0.7265170256867253,1.1699260309922634,0.9156947409431757,0.39833118644434357
96,0.6163086521008226,1.0797200294117917,0.8368870353197988,0.28534090074002016
98,0.620382566990133,1.1515641633984355,0.8920413147594893,0.3391878337709868
167,0.2970203635283463,1.4372241385467537,1.1757626618191286,0.1744091568033724
171,0.6568994809554415,1.4546063792088302,1.2377918923227713,0.172652510955313
